Identifier (RIC),Company Name,"Total Current Assets
(FY-1, usd)","Revenue
(FY-1, usd)","Gross Profit
(FY-1, usd)","Asset Turnover
(FY-1)","Net Profit Margin, (%)
(FY-1)","Total Debt to Total Equity, Percent
(FY-1)","ESG Score
(FY-1)","Environmental Pillar Score
(FY-1)","Social Pillar Score
(FY-1)","Governance Pillar Score
(FY-1)"
IEQ.AX,International Equities Corporation Ltd,16019731.36,1798486.82,1029897.01,0.08,-0.18,1.48,56.0,56.0,56.0,53.0
JIHD.JK,Jakarta International Hotels & Development Tbk PT,31702845.87,81399167.49,62500960.87,0.19,0.0,0.08,51.0,56.0,49.0,57.0
COUN.NS,Country Club Hospitality & Holidays Ltd,5521920.64,7809493.67,6467867.58,0.09,0.2,0.39,52.0,51.0,49.0,53.0
ECMI.KL,ECM Libra Group Bhd,3797500.0,5643863.64,172722027.0,0.12,-0.11,0.25,49.0,53.0,54.0,48.0
9723.T,Kyoto Hotel Ltd,22668423.83,55352639.51,45684162.96,0.45,0.01,12.15,56.0,55.0,57.0,51.0
LMHS.KL,Landmarks Bhd,29296818.18,5519772.73,3140909.09,0.01,-1.78,0.07,56.0,56.0,53.0,48.0
MAALT.IS,Marmaris Altinyunus Turistik Tesisleri AS,8794901.62,500379.38,259458.06,0.02,-10.58,0.0,56.0,54.0,49.0,50.0
MARTI.IS,Marti Otel Isletmeleri AS,20809923.69,18788190.44,6670142.29,0.07,0.0,1.5,52.0,50.0,52.0,51.0
RTG.ZI,Rainbow Tourism Group Ltd,39821676.0,324041130.0,225184629.0,1.58,0.04,0.06,57.0,56.0,50.0,53.0
PARKEN.CO,Parken Sport & Entertainment A/S,49438150.49,189144773.78,149086904.57,0.44,0.15,1.38,52.0,52.0,55.0,57.0
ZARA.AM,Zara Investment Holding Company PSC,46224671.84,92079364.86,21729146.08,0.32,0.06,0.15,56.0,60.0,55.0,48.0
WOOD.BO,Woodsvilla Ltd,202103495.0,367300304.0,147757075.0,0.0,-45.0,2.0,52.0,58.0,56.0,56.0
ITDC.NS,India Tourism Development Corp Ltd,100760796.01,56088120.74,42292039.92,0.61,0.12,0.0,35.45,33.33,52.94,11.11
TCO.AX,Transmetro Corporation Ltd,4731340.2,14341772.49,14023910.94,0.58,0.12,0.67,50.0,57.0,58.0,52.0
HOWA.BO,Howard Hotels Ltd,211769.72,1248356.86,1098502.92,0.71,0.07,0.26,49.0,52.0,49.0,57.0
MOIL.SI,Mandarin Oriental International Ltd,328500000.0,454100000.0,151400000.0,0.1,-0.11,0.22,51.95,79.67,61.99,11.95
IFAG.H,Ls Invest AG,184564426.37,132323416.1,84355736.3,0.21,-0.06,0.31,54.0,51.0,48.0,57.0
BMHL.MZ,BMH Ltd,40789737.74,116100433.3,175373815.0,0.23,0.02,1.29,52.0,57.0,50.0,54.0
MHOT.CA,Misr Hotels Company SAE,46520607.13,31636516.69,28950740.03,0.4,0.84,0.58,57.0,53.0,52.0,55.0
INBT.BO,Indrayani Biotech Ltd,9435552.58,19830562.32,7389666.5,1.57,0.07,1.33,51.0,56.0,49.0,54.0
LOIS.BO,Lords Ishwar Hotels Ltd,210927344.0,356950034.0,148955826.0,0.0,-43.0,2.0,51.0,60.0,50.0,54.0
AYCES.IS,Altin Yunus Cesme Turistik Tesisler AS,3840798.25,10462739.79,2896385.97,0.11,0.09,0.01,57.0,58.0,52.0,56.0
ACE.PS,Acesite (Phils.) Hotel Corp,10121527.57,0.0,-1132514.28,0.0,-48.0,0.0,57.0,54.0,54.0,53.0
SAVE.BO,Savera Industries Ltd,2823746.35,7480744.89,6249208.86,0.82,0.2,0.06,53.0,57.0,48.0,57.0
LAMr.AT,Lampsa Hellenic Hotels SA,54385702.05,100686001.71,40672089.04,0.35,0.11,1.31,57.0,53.0,58.0,52.0
HOOT4.SA,Hoteis Othon SA - em Recuperacao Judicial,7499243.28,19000945.89,12651532.35,0.21,2.0,2.0,48.0,57.0,52.0,52.0
VLNH.BO,Velan Hotels Ltd,18123.17,0.0,-803.31,0.0,-41.0,7.93,51.0,56.0,52.0,57.0
BUHF.PK,Buck Hill Falls Co,180998595.0,365211461.0,174605755.0,0.0,-48.0,2.0,53.0,53.0,55.0,57.0
ICPL.SI,ICP Ltd,6218195.27,6046597.63,5772928.99,0.14,0.07,0.66,56.0,52.0,51.0,51.0
INVERTC1.LM,Inversiones en Turismo SA,3194012.62,7231916.91,5623184.33,0.57,0.11,0.34,55.0,58.0,51.0,52.0
600754.SS,Shanghai Jin Jiang International Hotels Co Ltd,1642322874.5,1639790074.23,545560655.05,0.23,0.01,1.34,62.06,47.94,60.14,77.66
SFLD.SI,Stamford Land Corporation Ltd,349271005.56,114070344.21,106191191.94,0.12,1.0,0.06,56.0,55.0,49.0,48.0
0069.HK,Shangri-La Asia Ltd,1237654000.0,1462145000.0,686518000.0,0.11,-0.11,1.18,76.11,78.81,77.07,72.26
BVHS.SI,Bonvests Holdings Ltd,55427675.77,156011344.98,88150470.22,0.16,0.1,0.45,53.0,58.0,50.0,53.0
HPPS.SI,Hotel Properties Ltd,258500522.47,392227944.47,78679653.68,0.14,0.08,0.96,40.58,71.71,30.69,27.4
0078.HK,Regal Hotels International Holdings Ltd,756066329.47,234470836.8,109840578.78,0.06,-0.2,1.2,56.0,53.0,56.0,56.0
CNDL.PK,WCH Inc,205478348.0,131218000.0,27703000.0,0.0,-0.08,2.0,53.0,58.0,55.0,55.0
EBG.AX,Eumundi Group Ltd,2339766.02,19782021.8,10192980.7,0.28,0.05,0.48,58.0,54.0,52.0,50.0
HTRS.SI,Hotel Royal Ltd,45924018.51,31265860.58,12793700.55,0.05,-0.08,0.28,53.0,53.0,48.0,51.0
HOIN.EUA,Societe Hoteliere et Immobiliere de Nice SA,204764848.0,400473939.0,161761299.0,0.0,-42.0,2.0,49.0,56.0,50.0,56.0
HOMJ.EUA,Soc Immobiliere et Exploit Hotel Majesti SA,214756445.0,50174570.51,158203497.0,0.0,-48.0,2.0,57.0,60.0,54.0,54.0
SIGS.EUA,Hotelim SA,38509246.58,24650813.36,14893182.79,0.42,0.18,0.3,55.0,58.0,49.0,51.0
ISRO.TA,Isrotel Ltd,207885550.22,532171873.67,217709582.97,0.49,0.14,0.65,49.0,54.0,49.0,57.0
4681.T,Resorttrust Inc,1415498154.98,1278936666.92,1137224188.57,0.41,0.1,0.45,44.62,51.81,41.01,43.56
SHGM.KL,Shangri-La Hotels (Malaysia) Bhd,32585681.82,82598181.82,160503445.0,0.29,-0.11,0.24,55.0,51.0,54.0,51.0
6425.T,Universal Entertainment Corp,669720082.37,1075417588.28,597521165.43,0.24,0.08,0.5,15.04,0.0,10.15,35.92
BCHO.NS,Blue Coast Hotels Ltd,1219644.6,0.0,162008340.0,0.0,-46.0,2.0,52.0,61.0,52.0,57.0
ZDDL.LJ,Terme Dobrna dd,1107926.83,9008179.14,4958673.25,0.4,0.03,0.33,57.0,50.0,56.0,58.0
MINT.BK,Minor International PCL,1453225806.7,3465146091.88,1507522282.58,0.33,0.02,2.92,89.08,97.01,86.91,85.19
ROH.BK,Royal Orchid Hotel Thailand PCL,23570950.88,11471626.7,6846830.97,0.05,-0.31,1.68,55.0,56.0,50.0,53.0
SHANG.BK,Shangri-La Hotel PCL,85091795.72,33975654.72,21028211.21,0.15,-0.07,0.0,58.0,50.0,55.0,52.0
PROS.SI,ProsperCap Corporation Ltd,309747.72,0.0,0.0,0.0,-46.0,0.01,57.0,50.0,50.0,53.0
MCK.NZ,Millennium & Copthorne Hotels New Zealand Ltd,134714657.53,91536850.12,53647559.2,0.21,0.15,0.05,57.0,51.0,51.0,56.0
GWYT.PK,Greenway Technology,194602258.0,350210119.0,167667192.0,0.0,-48.0,2.0,55.0,51.0,47.0,54.0
AMRA.SI,Amara Holdings Ltd,101109867.14,69924615.61,54081952.53,0.12,0.07,0.9,59.0,60.0,49.0,48.0
PSKT.JK,Red Planet Indonesia Tbk PT,1031634.43,3782110.49,2126100.06,0.14,-0.13,0.05,53.0,52.0,53.0,54.0
RPBH.CM,Royal Palms Beach Hotels PLC,2348918.7,2070533.61,1364655.46,0.21,-0.16,0.03,52.0,50.0,48.0,50.0
9704.T,Agora Hospitality Group Co Ltd,33562481.89,37763473.42,3256799.63,0.29,-0.26,1.95,50.0,57.0,48.0,53.0
DUSIT.BK,Dusit Thani PCL,96534354.23,118255359.72,35879890.21,0.16,-0.12,3.18,56.0,50.0,55.0,55.0
2702.TW,Holiday Garden Hotel Co Ltd,122157700.23,44615495.31,35931092.0,0.16,0.3,1.54,52.0,52.0,57.0,52.0
2705.TW,Leofoo Development Co Ltd,16945808.94,54786833.24,13252738.99,0.11,-0.19,1.81,53.0,60.0,49.0,51.0
MANRIN.BK,Mandarin Hotel PCL,3102219.59,4758814.5,327458.83,0.2,-0.24,1.18,51.0,60.0,55.0,49.0
PRSI.PK,Portsmouth Square Inc,202267103.0,42027000.0,7700000.0,0.92,-0.31,2.0,58.0,59.0,57.0,51.0
BFHJ.PK,Beneficial Holdings Inc,215465080.0,393205268.0,151937272.0,0.0,-47.0,2.0,52.0,61.0,57.0,54.0
CINH.BO,Cindrella Hotels Ltd,155491.36,974003.16,746797.35,0.69,0.32,0.0,59.0,55.0,55.0,58.0
0126.HK,Carrianna Group Holdings Company Ltd,211660487.93,87073316.77,38077966.75,0.1,-0.26,0.52,57.0,54.0,54.0,51.0
PNSE.JK,Pudjiadi And Sons Tbk PT,2944983.67,9224209.87,5253340.72,0.38,-0.07,0.77,54.0,51.0,55.0,57.0
AFGL.SI,AF Global Ltd,22684729.06,12121212.12,5056724.88,0.05,-0.03,0.12,50.0,60.0,52.0,48.0
HLGE.SI,Hl Global Enterprises Ltd,45238841.62,5004478.28,2570532.92,0.09,0.16,0.0,56.0,54.0,57.0,54.0
AIPC.AM,Al Sharq Investment Projects Co PSC,4756725.48,9366704.3,6170910.37,0.31,0.13,0.02,57.0,51.0,57.0,50.0
GPH.PS,Grand Plaza Hotel Corp,12524997.13,5306338.42,3453881.26,0.22,0.02,0.18,52.0,59.0,52.0,52.0
9713.T,Royal Hotel Ltd,130318548.08,198787559.3,155696965.13,0.57,0.5,0.01,55.0,58.0,55.0,51.0
BHI.PS,Boulevard Holdings Inc,12630543.72,384870.73,-353950.28,0.01,-5.49,0.01,48.0,60.0,57.0,56.0
SHID.JK,Hotel Sahid Jaya International Tbk PT,15295352.02,5797444.02,3682140.51,0.07,-0.35,0.61,50.0,54.0,55.0,52.0
PKENT.IS,Petrokent Turizm AS,8106146.09,16472890.53,5656996.09,0.81,0.86,0.0,58.0,59.0,55.0,48.0
5364.TWO,Lealea Hotels & Resorts Co Ltd,3838342.55,13074696.67,833240.67,0.37,-0.08,1.71,57.0,52.0,47.0,54.0
GRAN.KL,Grand Central Enterprises Bhd,12349002.27,5169729.55,4628813.64,0.11,-0.15,0.0,48.0,59.0,56.0,48.0
0042.HK,Northeast Electric Development Co Ltd,15195876.59,23343240.74,13370498.17,0.85,-0.16,2.0,52.0,60.0,48.0,50.0
NMHL.MZ,New Mauritius Hotels Ltd,96965859.03,310209691.63,261145682.82,0.34,0.15,2.02,56.0,50.0,54.0,54.0
WPI.PS,Waterfront Philippines Inc,75849839.05,26700934.97,14279481.05,0.08,0.06,0.32,50.0,55.0,53.0,52.0
DANH.TA,Dan Hotels Ltd,84034170.05,416530119.11,134963470.45,0.59,0.07,0.76,52.0,53.0,55.0,56.0
AIHO.AM,Arab International Hotels Company PSC,5873549.75,12058165.14,1187071.28,0.12,0.03,0.28,58.0,58.0,49.0,48.0
JOHT.AM,Jordan Hotels and Tourism Company PSC,9512787.58,19612180.66,3301679.6,0.43,-0.04,0.18,55.0,52.0,53.0,48.0
ROCLF.PK,Royal Olympic Cruise Lines Inc,151094000.0,128831000.0,35457000.0,0.0,-0.19,2.0,52.0,55.0,50.0,49.0
GHG.BH,Gulf Hotel Group BSC,58939734.75,84612228.12,168605245.0,0.28,0.21,0.0,29.75,0.0,21.41,69.05
MEL.MC,Melia Hotels International SA,484057148.97,1797703339.04,1486593535.96,0.39,0.07,6.82,75.46,94.03,81.98,48.96
NHTL.BH,National Hotels Co BSC,23303793.1,18190822.28,6928063.66,0.08,0.42,0.0,52.0,51.0,57.0,55.0
CHH.N,Choice Hotels International Inc,347922000.0,1379302000.0,726242000.0,0.68,0.24,7.78,47.78,26.78,54.14,57.12
AVIL.KL,Avillion Bhd,17505668.93,15114058.96,9212244.9,0.19,-0.07,0.44,57.0,59.0,53.0,54.0
POSADASA.MX,Grupo Posadas SAB de CV,267294033.07,466159494.71,143915579.75,0.5,0.02,9.75,45.27,46.03,37.6,56.08
IPCC.SI,IPC Corporation Ltd,8505747.13,1112106.28,-718017.61,0.03,-5.06,0.11,52.0,57.0,48.0,53.0
CLHJ.J,City Lodge Hotels Ltd,25975311.13,91081572.06,161787915.0,0.53,0.1,1.57,44.48,30.65,54.16,42.4
RCL.N,Royal Caribbean Cruises Ltd,3205006000.0,8840540000.0,2375604000.0,0.27,-0.24,8.15,70.92,83.61,77.25,50.0
AHUN.CM,Aitken Spence Hotel Holdings PLC,49232361.11,139071913.58,103974703.7,0.43,-0.01,3.12,57.0,59.0,50.0,57.0
BBH.CM,Browns Beach Hotels PLC,1518530.86,2037296.3,1633771.6,0.12,-1.54,2.0,57.0,50.0,49.0,51.0
DTCS.OM,Dhofar Tourism Company SAOG,859266.96,1563400.05,-1201117.75,0.01,-2.04,0.04,58.0,55.0,48.0,53.0
PHTD.PSX,Pakistan Hotels Developers Ltd,359139.86,1954692.31,850713.29,0.06,0.08,0.0,57.0,57.0,50.0,48.0
PHTBC1.LM,Peru Holding de Turismo SAA,6703129.11,1206678.94,1206678.94,0.06,-0.86,0.0,49.0,55.0,50.0,50.0
PKSV.PSX,Pakistan Services Ltd,67050660.15,65942831.3,23676978.0,0.22,-0.03,0.39,55.0,56.0,55.0,57.0
AKDH.PSX,AKD Hospitality Ltd,13237.59,4195.8,170053698.0,0.06,-4.14,0.0,51.0,55.0,53.0,56.0
ASIA.BK,Asia Hotel PCL,10377935.57,26706115.86,5094647.5,0.09,-0.12,0.44,50.0,54.0,49.0,55.0
CHOT.CM,Ceylon Hotels Corporation PLC,11111777.35,2709449.48,1803828.46,0.06,-0.34,0.3,49.0,51.0,58.0,57.0
MAMI.JK,Mas Murni Indonesia Tbk PT,17664617.76,2970640.15,669729.97,0.02,-1.45,0.24,55.0,59.0,52.0,50.0
EDEN.CM,Eden Hotel Lanka PLC,18891324.23,6971016.3,4658784.1,0.04,-1.86,1.75,50.0,59.0,53.0,52.0
GHLL.CM,Galadari Hotels (Lanka) PLC,9056291.96,3259558.02,1294406.36,0.12,-0.1,0.0,58.0,52.0,57.0,51.0
HSIG.CM,Hotel Sigiriya PLC,1178351.42,757696.79,524906.14,0.26,-0.02,0.04,54.0,58.0,50.0,49.0
KHC.CM,Kandy Hotels Co (1938) PLC,4123347.1,954752.56,588816.14,0.03,-0.07,0.11,58.0,56.0,56.0,48.0
MRH.CM,Mahaweli Reach Hotels PLC,454203.4,1555395.77,358365.59,0.18,-0.02,0.18,57.0,56.0,49.0,53.0
NEH.CM,Nuwara Eliya Hotels Co PLC,5504764.48,3075349.97,2157154.72,0.17,0.07,0.01,58.0,59.0,56.0,49.0
PALM.CM,Palm Garden Hotels PLC,18314650.09,6971016.3,4658784.1,0.03,-2.23,3.56,52.0,55.0,50.0,49.0
PEG.CM,Pegasus Hotels of Ceylon PLC,525540.12,2221500.0,328629.63,0.25,-0.13,0.15,53.0,61.0,55.0,52.0
REEF.CM,Citrus Leisure PLC,1424530.28,5016179.26,3076715.49,0.16,-0.7,1.96,52.0,58.0,49.0,48.0
RENU.CM,Renuka City Hotels PLC,4058421.79,395300.86,262215.62,0.02,10.45,0.0,56.0,51.0,58.0,57.0
SERC.CM,Kingsbury PLC,2417530.86,11782759.26,4380512.35,0.87,-0.15,5.34,55.0,53.0,56.0,56.0
SHOT.CM,Serendib Hotels PLC,7682371.91,4450383.73,2971591.33,0.18,-0.29,0.29,57.0,55.0,51.0,50.0
SIGV.CM,Sigiriya Village Hotels PLC,866071.42,462971.7,253133.12,0.16,-0.61,0.8,51.0,60.0,55.0,58.0
SPEN.CM,Aitken Spence PLC,229024956.79,299348746.91,165777577.16,0.47,0.07,1.3,64.65,80.66,64.81,50.0
STAF.CM,Dolphin Hotels PLC,7141914.44,1777459.38,1056621.3,0.12,-0.18,0.3,58.0,59.0,52.0,52.0
TAJ.CM,Tal Lanka Hotels PLC,2227324.38,7288192.78,561681.39,0.42,-0.55,2.0,57.0,52.0,55.0,48.0
TANG.CM,Tangerine Beach Hotels PLC,1728582.99,1756757.1,1006009.94,0.15,-0.35,0.03,57.0,60.0,48.0,56.0
TRAN.CM,Trans Asia Hotels PLC,2209376.54,11015509.26,4619700.62,0.44,-0.03,0.19,58.0,58.0,56.0,52.0
GPA.LS,Imobiliaria Construtora Grao Para SA,236558.22,13238.44,165753351.0,0.0,-26.28,1.02,54.0,58.0,49.0,50.0
GHTL.BO,Gujarat Hotels Ltd,4956049.17,445593.96,152124430.0,0.09,1.16,0.0,55.0,52.0,49.0,54.0
BAHS.OM,Al Batinah Hotels Company SAOG,23498.83,767013.26,-582323.89,0.09,-1.95,0.28,53.0,55.0,56.0,56.0
TPSE.NR,TPS Eastern Africa PLC,20455628.55,56320405.52,47673154.91,0.4,0.05,0.53,56.0,58.0,49.0,57.0
LRH.BK,Laguna Resorts and Hotels PCL,178252641.72,137181481.94,52533397.57,0.21,0.0,0.62,54.0,56.0,49.0,57.0
ARHO.BO,Aruna Hotels Ltd,285540.41,239257.55,137103.21,0.01,-4.54,4.02,56.0,57.0,48.0,56.0
ASHT.NS,Asian Hotels (North) Ltd,7727166.5,31131925.51,24132254.14,0.16,-0.33,6.66,50.0,60.0,51.0,56.0
BNRS.BO,Benares Hotels Ltd,4725085.2,11358933.79,9722833.5,0.87,0.25,0.04,50.0,54.0,51.0,55.0
GRSS.BO,Graviss Hospitality Ltd,2001217.14,7967222.49,5599111.49,0.31,0.09,0.02,57.0,56.0,49.0,56.0
HLVL.NS,HLV Ltd,13621567.67,21042259.01,17156560.37,0.31,0.04,0.08,58.0,60.0,55.0,48.0
JNHT.BO,Jindal Hotels Ltd,1754369.52,5037816.46,4048332.52,0.47,0.05,3.15,52.0,60.0,53.0,48.0
EIHO.NS,EIH Ltd,106666382.67,245716528.72,206016553.07,0.47,0.16,0.07,28.06,40.87,24.7,21.57
SKTP.PK,Skytop Lodge Corp,196994253.0,378522506.0,162725245.0,0.0,-47.0,2.0,53.0,58.0,47.0,50.0
ADHO.NS,Advani Hotels and Resorts (India) Ltd,5462621.71,12005951.8,11173186.47,1.2,0.29,0.03,56.0,56.0,54.0,50.0
000524.SZ,Guangzhou Lingnan Group Holdings Co Ltd,185807147.83,149996288.35,21697858.55,0.34,-0.17,0.04,53.0,56.0,52.0,52.0
ACAP.CM,Asia Capital PLC,3400129.63,1419771.6,649080.25,0.1,-1.47,2.0,51.0,58.0,47.0,51.0
MAR.OQ,Marriott International Inc,3313000000.0,20773000000.0,4558000000.0,0.82,0.11,17.72,75.54,78.96,88.17,53.51
HPST.PK,Parliament House Enterprises Inc,203827316.0,364218088.0,166084735.0,0.0,-41.0,2.0,58.0,53.0,52.0,51.0
AGDCU.EUL,Sociedade das Aguas da Curia SA,7198374.26,3173618.72,1856665.92,0.0,0.0,2.0,48.0,58.0,54.0,56.0
RRAH.BO,Ras Resorts and Apart Hotels Ltd,282268.99,1566894.72,1445859.66,0.37,0.0,0.23,51.0,53.0,50.0,49.0
RMHI.BO,Royale Manor Hotels and Industries Ltd,1961867.09,2694364.65,2384201.56,0.35,0.17,0.18,58.0,59.0,54.0,54.0
SAYH.BO,Sayaji Hotels Ltd,6731499.51,13994900.19,10132315.0,0.31,0.09,0.32,49.0,53.0,55.0,51.0
SUN.MZ,Sun Ltd,59756585.9,106741431.72,161455901.0,0.21,0.2,0.65,55.0,55.0,54.0,56.0
4170.SE,Tourism Enterprise Company (Shams) SJSC,137252858.66,2702305.03,-112134.68,0.03,-0.71,0.0,48.0,53.0,48.0,54.0
DATA.SI,Datapulse Technology Ltd,10741687.98,3361666.92,2236347.22,0.07,-0.26,0.03,54.0,53.0,52.0,55.0
MUIB.KL,Malayan United Industries Bhd,90230010.72,90897106.11,43320685.96,0.21,-0.03,0.9,16.01,12.49,10.74,27.07
HGCS.SI,Hotel Grand Central Ltd,228766233.77,107113001.94,152027230.0,0.09,0.01,0.02,55.0,57.0,58.0,58.0
KAMT.NS,Kamat Hotels (India) Ltd,5521774.59,35897346.64,30932594.94,0.55,1.06,2.25,56.0,59.0,52.0,53.0
EIHA.NS,EIH Associated Hotels Ltd,24361611.49,41025803.31,33992575.46,0.74,0.19,0.01,56.0,60.0,57.0,55.0
1KSP01AE.BV,Kupele Strbske Pleso as,206332144.0,391093819.0,166591153.0,0.0,-45.0,2.0,49.0,55.0,57.0,52.0
TCRG.LJ,Terme Catez dd,7731870.72,33985659.25,15576294.95,0.21,0.03,0.35,52.0,53.0,49.0,52.0
9616.T,Kyoritsu Maintenance Co Ltd,744046991.49,1322614654.72,246697793.51,0.68,0.02,2.06,18.03,21.78,14.54,19.89
LZTL.PA,Les Hotels de Paris SA,26657748.29,45498715.75,29574058.22,0.27,-0.08,2.0,48.0,60.0,56.0,51.0
PHTV.CA,Pyramisa Hotels and Resorts SAE,39456952.71,26255219.08,9043936.94,0.34,0.08,0.16,55.0,55.0,51.0,50.0
AGRO.CY,Agros Development Company Proodos Public Ltd,1492758.57,2874280.97,1284746.38,0.19,0.89,0.66,48.0,54.0,50.0,58.0
CLA.CY,Claridge Public Ltd,3015068.49,2884203.77,-55650.68,0.54,-0.27,0.0,57.0,51.0,48.0,57.0
DOME.CY,Dome Investments PCL,7572903.17,3519200.6,778459.86,0.06,-0.07,0.64,54.0,54.0,49.0,48.0
LCH.CY,Leptos Calypso Hotels Public Ltd,16263431.08,25496018.84,5831389.13,0.15,0.01,0.9,48.0,56.0,49.0,52.0
LHH.CY,Lordos Hotels Holdings Public Ltd,5642005.57,21905308.22,9060819.78,0.18,0.09,0.08,50.0,57.0,56.0,54.0
JSPT.JK,Jakarta Setiabudi Internasional Tbk PT,107027022.68,88438855.32,59437531.38,0.23,-0.03,1.36,49.0,58.0,49.0,55.0
PGLI.JK,Pembangunan Graha Lestari Indah Tbk PT,640046.12,1307191.11,564369.22,0.19,0.32,0.0,53.0,60.0,52.0,48.0
KERVN.IS,Kervansaray Yatirim Holding AS,1230189.48,380.45,18.19,0.0,-18503.36,18.97,57.0,52.0,55.0,48.0
PVAC.PA,Pierre et Vacances SA,1147741710.44,1888301077.09,1369363789.15,0.43,-0.04,2.0,53.0,60.0,48.0,57.0
006730.KQ,Seobu T&D Co Ltd,113494328.57,107287537.54,42189021.23,0.07,0.12,1.22,59.0,60.0,55.0,50.0
MARA.CM,Marawila Resorts PLC,563054.69,1772097.1,1049388.18,0.3,-0.29,1.11,58.0,51.0,51.0,53.0
RIVP.ZA,Valamar Riviera dd,128158786.39,345932148.97,243472816.78,0.37,0.06,1.14,53.0,58.0,50.0,55.0
BGALB.BB,Albena AD,13151959.71,60160389.75,32953798.99,0.18,-0.02,0.18,48.0,55.0,53.0,50.0
LHL.CM,Lighthouse Hotel PLC,457814.04,2256912.62,1549326.45,0.19,-0.16,0.14,58.0,59.0,53.0,54.0
IHI.MT,International Hotel Investments PLC,136420162.67,254930436.64,120527611.3,0.14,-0.02,1.08,51.0,50.0,54.0,51.0
CIDMEGA.MX,Grupe SAB de CV,100842405.26,173527164.42,87343175.52,0.35,0.08,0.38,49.0,59.0,48.0,48.0
1189.HK,Greater Bay Area Dynamic Growth Holding Ltd,237774442.65,10142256.09,5180225.25,0.04,-0.42,0.01,53.0,51.0,48.0,52.0
UBAR.OM,Ubar Hotels and Resorts Co SAOG,1258825.06,6467767.09,4223992.72,0.24,-0.35,0.43,58.0,50.0,48.0,56.0
ABHS.OM,Al Buraimi Hotel Company SAOG,349593.28,1374697.89,664700.23,0.15,0.15,0.1,56.0,54.0,53.0,57.0
2707.TW,Formosa International Hotels Corp,123172744.22,183056643.88,60981031.49,0.52,0.16,0.71,72.3,71.49,75.4,68.37
ULSP.PK,Ultimate Sports Entertainment Inc,213416051.0,368706915.0,173732800.0,0.0,-48.0,2.0,56.0,61.0,51.0,50.0
5704.TWO,Hotel Royal Chihpen,12283088.6,15660856.2,7847532.46,0.69,0.2,0.0,53.0,59.0,49.0,48.0
BGSLB.BB,Slanchev Bryag AD,2088898.62,1305014.23,354171.23,0.05,-0.68,0.0,49.0,57.0,54.0,55.0
ZLP.BB,Zlatni Pyasatsi AD,18969783.23,23070943.73,18297022.12,0.45,-0.07,0.03,53.0,55.0,51.0,56.0
MALL.AM,Al Dawliyah for Hotels and Malls PSC,2648948.48,12402695.84,1855003.53,0.15,0.03,0.16,52.0,56.0,52.0,48.0
MDTR.AM,Mediterranean Tourism Investment Company PSC,6652519.41,23932674.66,19681764.29,0.27,0.11,0.28,50.0,54.0,54.0,58.0
RHTL.CM,Fortress Resorts Plc,1931851.42,1341655.22,816711.88,0.23,-0.05,0.04,54.0,59.0,51.0,55.0
600258.SS,BTG Hotels Group Co Ltd,491248531.29,738013053.12,115838696.86,0.19,-0.11,1.05,59.69,51.32,47.88,84.92
EWKS.PK,Earthworks Entertainment Inc,145000.0,0.0,-121000.0,0.0,-49.0,2.0,50.0,54.0,56.0,49.0
MIN.L,Minoan Group PLC,54689650.43,0.0,0.0,0.0,-50.0,0.06,57.0,55.0,53.0,55.0
HYDP.ASE,Hydro Hotel Eastbourne PLC,2626789.15,5048960.91,811920.82,0.96,0.08,0.0,50.0,55.0,54.0,51.0
TBKH.NS,Byke Hospitality Ltd,6201472.74,13924732.23,11435175.27,0.45,0.02,0.51,53.0,53.0,56.0,54.0
SRIS.NS,Sri Havisha Hospitality and Infrastructure Ltd,880927.46,1972431.84,1696993.67,0.39,0.09,0.06,51.0,51.0,50.0,54.0
CCL.L,Carnival PLC,7492000000.0,12168000000.0,851000000.0,0.23,-0.5,4.89,69.72,76.39,77.54,51.98
TSH.CY,A Tsokkos Hotels Public Ltd,23431462.16,31514073.62,542971.15,0.05,-0.33,1.04,57.0,58.0,50.0,50.0
CAGU.PK,Castle Group Inc,5543480.0,26291200.0,160316231.0,2.04,0.01,2.44,57.0,55.0,49.0,48.0
ORHD.CA,Orascom Development Egypt SAE,748753762.73,415091322.55,126163713.02,0.4,0.16,0.99,50.0,52.0,57.0,53.0
AHC.PL,Arab Hotels Company PSC,875539.87,4161199.72,1098348.62,0.12,-0.34,2.42,55.0,50.0,48.0,50.0
ADNH.AD,Abu Dhabi National Hotels Co PJSC,293843849.57,397550447.97,98632390.19,0.15,0.29,0.32,45.73,33.78,30.38,79.52
NCTH.AD,National Corp for Tourism and Hotels,165390691.97,193512673.95,23216151.52,0.25,0.09,0.18,29.61,41.16,25.64,25.18
SGH.HN,Saigon Hotel Corp,7005211.47,1189285.55,407278.27,0.15,0.28,0.0,55.0,54.0,53.0,49.0
TAJG.NS,TAJ GVK Hotels and Resorts Ltd,15153164.56,46687536.51,41618549.17,0.52,0.24,0.31,54.0,53.0,52.0,57.0
BGSHB.BB,Sofia Hotel Balkan AD,1758265.82,19236917.01,9893255.97,0.2,0.11,2.66,49.0,56.0,54.0,51.0
SKEH.BB,St St Constantine and Helena Holding AD,8141011.6,16802058.24,8186993.65,0.22,-0.1,2.16,55.0,57.0,48.0,57.0
VERY.BB,Vereya Tour AD,676592.95,1077293.63,541383.84,0.36,-0.19,0.0,56.0,59.0,55.0,54.0
